"title","creator","mediaURL","date"
"Cirkus Schumann","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00966.jpg","1962?"
"Cirkus Schumann","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00983.jpg","1962?"
"Cirkus Schumann","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00984.jpg","1962?"
"Uidentificeret teaterstykke","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_02275.jpg","1962?"
"""Slutspurten"" eller ""Ungdoms lyse vår""","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00128.jpg","1963.04.05?"
"Jugendliche (FDJ) während einer Führung in der Gemäldegalerie Neue Meister","Höhne, Erich (Fotograf)","http://fotothek.slub-dresden.de/fotos/df/hpm/0000000/df_hpm_0000329_001.jpg","1963?"
"Jugendliche (FDJ) während einer Führung in der Gemäldegalerie Neue Meister","Pohl, Erich (Fotograf)","http://fotothek.slub-dresden.de/fotos/df/hpm/0000000/df_hpm_0000329_001.jpg","1963?"
"Reportage fra Bakken","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00270.jpg","1963?"
"Don Juan","Conradt-Eberling, Elsa. Bladtegner","http://www.kb.dk/imageService/online_master_arkiv_11/non-archival/Images/BLADTE_VANDMAERKER/db_elsa_conradt-eberlin/db_elsa_conradt-eberlin_00039.jpg","1963?"
"Antageligt Teenagerlove","Conradt-Eberling, Elsa. Bladtegner","http://www.kb.dk/imageService/online_master_arkiv_11/non-archival/Images/BLADTE_VANDMAERKER/db_elsa_conradt-eberlin/db_elsa_conradt-eberlin_00047.jpg","1963?"
"Uidentificeret teaterstykke","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_01009.jpg","1963?"
"Uidentificeret teaterstykke","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_01015.jpg","1963?"
"Antageligt Sathima Bea Benjamin på Montmartre","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_01767.jpg","1963?"
"Uidentificeret teaterstykke","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_02507.jpg","1963?"
"Helligtrekongersaften","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00400.jpg","1964.04.18?"
"Erotika","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00682.jpg","1964.04?"
"Svanesøen","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00608.jpg","1964.11.07?"
"Ukendt","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00560.jpg","1964?"
"Antageligt Hvem er bange for Virginia Woolf?","Conradt-Eberling, Elsa. Bladtegner","http://www.kb.dk/imageService/online_master_arkiv_11/non-archival/Images/BLADTE_VANDMAERKER/db_elsa_conradt-eberlin/db_elsa_conradt-eberlin_00036.jpg","1964?"
"Antageligt Julius Cæsar","Conradt-Eberling, Elsa. Bladtegner","http://www.kb.dk/imageService/online_master_arkiv_11/non-archival/Images/BLADTE_VANDMAERKER/db_elsa_conradt-eberlin/db_elsa_conradt-eberlin_00050.jpg","1964?"
"Terzetten","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00941.jpg","1964?"
"Uidentificeret teaterstykke","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_02336.jpg","1964?"
"Cirkusrevyen","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_02197.jpg","1965.05/1966.05?"
"Uidentificeret danseforestilling","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00017.jpg","1965?"
"Uidentificeret danseforestilling","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00018.jpg","1965?"
"Uidentificeret danseforestilling","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00019.jpg","1965?"
"Uidentificeret danseforestilling","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00020.jpg","1965?"
"Maskeballet","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00551.jpg","1965?"
"Ukendt titel","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00623.jpg","1965?"
"Uidentificeret danseforestilling","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00016.jpg","1965?"
"Uidentificeret teaterstykke","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_02537.jpg","1965?"
"Antageligt Forfølgelsen af og mordet på Jean Paul Marat","Conradt-Eberling, Elsa. Bladtegner","http://www.kb.dk/imageService/online_master_arkiv_11/non-archival/Images/BLADTE_VANDMAERKER/db_elsa_conradt-eberlin/db_elsa_conradt-eberlin_00040.jpg","1966?"
"Uidentificeret teaterstykke","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00935.jpg","1966?"
"Cirkus Schumann","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00961.jpg","1966?"
"Uidentificeret teaterstykke","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_02335.jpg","1966?"
"Uidentificeret danseforestilling","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00660.jpg","1967.02.24?"
"Don Juan eller Kærligheden til geometrien","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00286.jpg","1967.02.25?"
"Den Stundesløse","Conradt-Eberling, Elsa. Bladtegner","http://www.kb.dk/imageService/online_master_arkiv_11/non-archival/Images/BLADTE_VANDMAERKER/db_elsa_conradt-eberlin/db_elsa_conradt-eberlin_00023.jpg","1967?"
"Cirkus Schumann","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00979.jpg","1967?"
"Uidentificeret teaterstykke","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_02017.jpg","1967?"
"Uidentificeret teaterstykke","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_02170.jpg","1968.12.14?"
"Maskarade","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00577.jpg","1968?"
"Grev Christian i den grevelige skydepram","Gantriis, Henning (1918-1989) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_2/non-archival/Images/BLADTE_VANDMAERKER/db_henning_gantriis_02232.jpg","1968?"
"Uidentificeret teaterstykke","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_02210.jpg","1968?"
"Uidentificeret teaterstykke","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_02323.jpg","1968?"
"Uidentificeret teaterstykke","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_02488.jpg","1968?"
"Cirkus Schumann","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00965.jpg","1969 ?"
"Cirkus Schumann","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00978.jpg","1969 ?"
"Cirkusrevyen 1969","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_01028.jpg","1969.05?"
"Cirkusrevyen 1969","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_01054.jpg","1969.05?"
"Boris Godunov","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00584.jpg","1969?"
"Svanesøen","Lollesgaard, Hans (1923-1993) bladtegner","http://www.kb.dk/imageService/online_master_arkiv_3/non-archival/Images/BLADTE_VANDMAERKER/db_hans_lollesgaard_00637.jpg","1969?"
