 "event" , "date" ,
 "__bnode984836" , " voor 1673" ,
 "__bnode984844" , " voor 1673" ,
 "__bnode984852" , " voor 1673" ,
 "__bnode985878" , "voor 1633" ,
 "__bnode728658" , " voor 1652" ,
 "__bnode136263" , "voor 15 mei 1276" ,
 "__bnode112506" , "voor 1234" ,
 "__bnode595404" , " voor 1600" ,
 "__bnode340743" , " voor 1490" ,
 "__bnode89669" , " voor 1655" ,
 "__bnode31001" , "voor 1365" ,
 "__bnode992946" , " voor 1691" ,
 "__bnode992954" , " voor 1691" ,
 "__bnode998612" , "voor 1573" ,
 "__bnode1001765" , "voor 1640" ,
 "__bnode1005932" , "voor 1620" ,
 "__bnode1008253" , "voor 1000" ,
 "__bnode1018755" , "voor 1351" ,
 "__bnode1028988" , "voor 1304" ,
 "__bnode1035994" , " voor 1615" ,
 "__bnode1036002" , " voor 1615" ,
 "__bnode1042863" , "voor 24 oktober 1651" ,
 "__bnode1059579" , "voor 1645" ,
 "__bnode1059679" , "voor 11 april 1657" ,
 "__bnode1067657" , "voor 1709" ,
 "__bnode1076757" , "voor 1272" ,
 "__bnode1079982" , "voor 1754" ,
 "__bnode1083929" , "voor 1510" ,
 "__bnode1087769" , "voor 1608" ,
 "__bnode1088513" , "voor 1347" ,
 "__bnode1096054" , "voor 1542" ,
 "__bnode1096973" , "voor 1610" ,
 "__bnode1099062" , "voor 14 april 1777" ,
 "__bnode1101009" , "voor 1720" ,
 "__bnode1106901" , "voor 16 sept. 1649" ,
 "__bnode1113947" , " voor 1612" ,
 "__bnode1113955" , " voor 1612" ,
 "__bnode1113963" , " voor 1612" ,
 "__bnode1113971" , " voor 1612" ,
 "__bnode1113979" , " voor 1612" ,
 "__bnode1116918" , "voor 1488" ,
 "__bnode1129099" , "voor 1560" ,
 "__bnode1136939" , " voor 1721" ,
 "__bnode1142418" , "voor 1640" ,
 "__bnode1151903" , "voor 1515" ,
 "__bnode1152180" , "voor 1662" ,
 "__bnode1153452" , "voor of in 1657" ,
 "__bnode1156917" , "voor 28 juli 1750" ,
 "__bnode1156925" , "voor 28 juli 1750" ,
 "__bnode1157954" , "voor 1586" ,
 "__bnode1170472" , "voor 1621" ,
 "__bnode1171104" , "voor 1590" ,
 "__bnode1187966" , "voor 1252" ,
 "__bnode1197187" , "voor 1563" ,
 "__bnode1205049" , " voor 1727" ,
 "__bnode1205057" , " voor 1727" ,
 "__bnode1221336" , "Voor 1711" ,
 "__bnode1223223" , "voor 1575" ,
 "__bnode1227011" , "voor 1578" ,
 "__bnode1233730" , "voor 1620" ,
 "__bnode1240157" , "voor 1823" ,
 "__bnode1253639" , "voor 1577" ,
 "__bnode1254599" , "voor 1593" ,
 "__bnode1263583" , "voor 1657" ,
 "__bnode1263795" , "voor 1426" ,
 "__bnode1273599" , "voor 1559" ,
 "__bnode1276456" , "voor ca. 128" ,
 "__bnode1299474" , "voor 1706" ,
 "__bnode1303064" , "voor 1585" ,
 "__bnode1304160" , "kort voor 1526" ,
 "__bnode1304180" , "voor 1607" ,
 "__bnode1312729" , "voor 1672" ,
 "__bnode1312926" , "voor 1318" ,
 "__bnode1324793" , "voor 1784" ,
 "__bnode1331351" , "voor 1626" ,
 "__bnode1332135" , "voor 1650" ,
 "__bnode1337107" , "voor of in 1730" ,
 "__bnode1344680" , "voor 1670" ,
 "__bnode1348387" , "voor 1731" ,
 "__bnode1349076" , "voor 1818" ,
 "__bnode1357153" , "voor 1634" ,
 "__bnode1364971" , "voor 25 april 1626" ,
 "__bnode1373465" , "voor 1548" ,
 "__bnode1374341" , "voor 1652" ,
 "__bnode1374614" , "voor 1767" ,
 "__bnode1374627" , "voor 1767" ,
 "__bnode1380758" , "voor 1647" ,
 "__bnode1381980" , "voor 1593" ,
 "__bnode1388063" , " voor 1690" ,
 "__bnode1388071" , " voor 1690" ,
 "__bnode1388079" , " voor 1690" ,
 "__bnode1398010" , "voor april 1796" ,
 "__bnode1398517" , "voor 1270" ,
 "__bnode1404808" , "Voor 1644" ,
 "__bnode1411958" , "voor 18 april 1569" ,
 "__bnode1415026" , "voor 1640" ,
 "__bnode1426066" , "voor 1673" ,
 "__bnode1430759" , "voor 1726" ,
 "__bnode1449539" , "voor 1403" ,
 "__bnode1452133" , "voor 12 mei 1723" ,
 "__bnode1454490" , "voor 27 december 1619" ,
 "__bnode1455150" , "voor 12-8-1622" ,
 "__bnode1457828" , "voor 8 oktober 1575" ,
 "__bnode1470498" , "voor of in 1661" ,
 "__bnode1477754" , "voor 2 juli 1693" ,
 "__bnode1484186" , "voor 1603" ,
 "__bnode1486602" , "voor 1197" ,
 "__bnode1504093" , "voor 1543" ,
 "__bnode1506211" , "voor 1420" ,
 "__bnode1506231" , "voor 1420" ,
 "__bnode1507531" , "voor 1551" ,
 "__bnode1512899" , "voor 5 februari 1078" ,
 "__bnode1543375" , "voor 17 april 1520" ,
 "__bnode1543391" , "voor 17 april 1520" ,
 "__bnode1543399" , "voor 17 april 1520" ,
 "__bnode1543407" , "voor 17 april 1520" ,
 "__bnode1553084" , "voor 1392" ,
 "__bnode1566550" , "geboren voor 1620" ,
 "__bnode1577340" , "voor 9 november 1779" ,
 "__bnode1587738" , "voor 1649" ,
 "__bnode1587862" , "voor 1640" ,
 "__bnode1602946" , "voor 1624" ,
 "__bnode1606043" , "voor 1609" ,
 "__bnode1620074" , " voor 1700" ,
 "__bnode1620082" , " voor 1700" ,
 "__bnode1623258" , "voor 1545" ,
 "__bnode1633353" , "voor 1637" ,
 "__bnode1633919" , "voor 1662" ,
 "__bnode1633933" , "voor 1662" ,
 "__bnode1636910" , "voor 11 augustus 1652" ,
 "__bnode1643846" , "voor november 1523" ,
 "__bnode1643854" , "voor november 1523" ,
 "__bnode1656695" , "voor 25 augustus 1727" ,
 "__bnode1662353" , "voor 1633" ,
 "__bnode1665361" , "voor 10 juni 1643" ,
 "__bnode1670562" , "voor 1680" ,
 "__bnode1672104" , "voor 1500" ,
 "__bnode1674215" , " voor 1644" ,
 "__bnode1674223" , " voor 1644" ,
 "__bnode1674231" , " voor 1644" ,
 "__bnode1678277" , "voor 1667" ,
 "__bnode1691992" , "voor 1332" ,
 "__bnode1696860" , "voor 1529" ,
 "__bnode1705222" , "voor 1675" ,
 "__bnode1706101" , "voor 1726" ,
 "__bnode1714414" , "voor 1110" ,
 "__bnode1718699" , "voor 1670" ,
 "__bnode1720482" , "voor 1570" ,
 "__bnode1724104" , "voor 12 maart 1629" ,
 "__bnode1724121" , "voor 12 maart 1629" ,
 "__bnode1724167" , "voor 1604" ,
 "__bnode1733240" , " voor 1726" ,
 "__bnode1733248" , " voor 1726" ,
 "__bnode1736952" , "voor 1524" ,
 "__bnode1736990" , "voor 1524" ,
 "__bnode1737107" , "voor 1 februari 1695" ,
 "__bnode1757020" , "voor 1683" ,
 "__bnode1769476" , "voor 1581" ,
 "__bnode1769965" , "voor 25 aug. 1585" ,
 "__bnode1773013" , " voor 1652" ,
 "__bnode1773021" , " voor 1652" ,
 "__bnode1773029" , " voor 1652" ,
 "__bnode1773037" , " voor 1652" ,
 "__bnode1780134" , "voor 1636" ,
 "__bnode1807650" , "voor 1198" ,
 "__bnode1814658" , "voor 1290" ,
 "__bnode1822184" , "voor 1665" ,
 "__bnode1822200" , "voor 1665" ,
 "__bnode1823024" , "voor 1700" ,
 "__bnode1829762" , "voor 7 oktober 1709" ,
 "__bnode1831879" , "voor 15 juni 1516" ,
 "__bnode1835337" , "voor 1672" ,
 "__bnode1837016" , "voor 1 februari 1575" ,
 "__bnode1846877" , "voor 21 januari 1577" ,
 "__bnode1846887" , "voor 21 januari 1577" ,
 "__bnode1851446" , "voor 1230" ,
 "__bnode1858242" , "voor 1540" ,
 "__bnode1858561" , "voor 1500" ,
 "__bnode1874760" , "voor 1610" ,
 "__bnode1883494" , "voor 25 februari 1646" ,
 "__bnode1886950" , "voor april 1683" ,
 "__bnode1888698" , " voor 1370" ,
 "__bnode1888706" , " voor 1370" ,
 "__bnode1888714" , " voor 1370" ,
 "__bnode1892390" , "voor 20 augustus 1958" ,
 "__bnode1899874" , "voor 1757" ,
 "__bnode1901156" , "voor 1750" ,
 "__bnode1901556" , "voor maart 1125" ,
 "__bnode1906877" , "voor 10 november 1610" ,
 "__bnode1919830" , " voor 1480" ,
 "__bnode1919838" , " voor 1480" ,
 "__bnode1921134" , "voor 1716" ,
 "__bnode1926083" , "voor 1781" ,
