 "event" , "date" ,
 "__bnode649655" , "na 22 oktober 1683" ,
 "__bnode649663" , "na 22 oktober 1683" ,
 "__bnode654761" , "na 1626" ,
 "__bnode657891" , "na oktober 1568" ,
 "__bnode659290" , "na 1662" ,
 "__bnode660638" , "na 1676" ,
 "__bnode660821" , "na 1754" ,
 "__bnode670171" , "na 1611" ,
 "__bnode674521" , "na 1594" ,
 "__bnode675710" , "na augustus 1649" ,
 "__bnode675718" , "na augustus 1649" ,
 "__bnode675726" , "na augustus 1649" ,
 "__bnode675734" , "na augustus 1649" ,
 "__bnode679278" , "na 1618" ,
 "__bnode682979" , "na oktober 1584" ,
 "__bnode683027" , " na 1584" ,
 "__bnode684304" , "na 1646" ,
 "__bnode685169" , " na 1672" ,
 "__bnode685177" , " na 1672" ,
 "__bnode685185" , " na 1672" ,
 "__bnode685193" , " na 1672" ,
 "__bnode686403" , "na 1777" ,
 "__bnode693815" , "na 1787" ,
 "__bnode701132" , " na 1643" ,
 "__bnode701156" , " na 1643" ,
 "__bnode701164" , " na 1643" ,
 "__bnode703752" , "juni 1601 of kort daarna" ,
 "__bnode705831" , "na 1697" ,
 "__bnode711051" , " na 1776" ,
 "__bnode711059" , " na 1776" ,
 "__bnode720726" , "na 1668" ,
 "__bnode726060" , " na 1681" ,
 "__bnode726068" , " na 1681" ,
 "__bnode726076" , " na 1681" ,
 "__bnode726084" , " na 1681" ,
 "__bnode729313" , "na 1874" ,
 "__bnode731065" , "na 1653" ,
 "__bnode733777" , "na 1356" ,
 "__bnode735148" , "na 1696" ,
 "__bnode740151" , "na 1613" ,
 "__bnode742183" , "na 1761" ,
 "__bnode746699" , "na 1641" ,
 "__bnode747134" , " na 1700" ,
 "__bnode747441" , "na 1816" ,
 "__bnode750797" , "na 1679" ,
 "__bnode754335" , "na 1714" ,
 "__bnode755100" , "na 1648" ,
 "__bnode758731" , "na 1677" ,
 "__bnode758749" , "na 1677" ,
 "__bnode764828" , "na 1635" ,
 "__bnode768100" , "na 1553" ,
 "__bnode771806" , " na 1731" ,
 "__bnode771822" , " na 1731" ,
 "__bnode773713" , "na 1468" ,
 "__bnode776581" , " na 1730" ,
 "__bnode776589" , " na 1730" ,
 "__bnode776597" , " na 1730" ,
 "__bnode778678" , "na 1368" ,
 "__bnode778690" , " na 1368" ,
 "__bnode778706" , " na 1368" ,
 "__bnode778714" , " na 1368" ,
 "__bnode779493" , "na 1653" ,
 "__bnode783019" , "na 1640" ,
 "__bnode785155" , "na 1553" ,
 "__bnode792698" , "na 1690" ,
 "__bnode792714" , "na 1690" ,
 "__bnode795850" , "na 1629" ,
 "__bnode801243" , "na 1494" ,
 "__bnode803197" , "na 1828" ,
 "__bnode808781" , "na 1803" ,
 "__bnode811016" , "na 1664" ,
 "__bnode811032" , "na 8 december 1664" ,
 "__bnode818150" , "na 1677" ,
 "__bnode819684" , " na 1723" ,
 "__bnode819692" , " na 1723" ,
 "__bnode824782" , " na 1809" ,
 "__bnode828208" , "na 1579" ,
 "__bnode841628" , "na 1779" ,
 "__bnode850109" , "na juni 1572" ,
 "__bnode853494" , "na 1629" ,
 "__bnode856712" , " na 1626" ,
 "__bnode856720" , " na 1626" ,
 "__bnode857424" , "na 1566" ,
 "__bnode863466" , "in of na 1893" ,
 "__bnode867435" , "na 1506" ,
 "__bnode867910" , "na 1456" ,
 "__bnode871590" , "na 1665" ,
 "__bnode874492" , "na 1687" ,
 "__bnode874519" , " na 1687" ,
 "__bnode874543" , " na 1687" ,
 "__bnode880167" , "na 1753" ,
 "__bnode882471" , "na 1611" ,
 "__bnode884420" , "na 1666" ,
 "__bnode888146" , "na 1559" ,
 "__bnode895387" , "na 1728" ,
 "__bnode904872" , " na 1608" ,
 "__bnode904880" , " na 1608" ,
 "__bnode906842" , "na 1825" ,
 "__bnode908509" , " na 1742" ,
 "__bnode908517" , " na 1742" ,
 "__bnode908525" , " na 1742" ,
 "__bnode908533" , " na 1742" ,
 "__bnode909314" , " na 1678" ,
 "__bnode909322" , " na 1678" ,
 "__bnode909330" , " na 1678" ,
 "__bnode909338" , " na 1678" ,
 "__bnode909951" , "na 1861" ,
 "__bnode916334" , " na 1757" ,
 "__bnode916342" , " na 1757" ,
 "__bnode919638" , "na 1796" ,
 "__bnode922549" , "na 1604" ,
 "__bnode925946" , "na 1956" ,
 "__bnode931468" , "na 1500" ,
 "__bnode939073" , "na 1691" ,
 "__bnode939184" , "na 1677" ,
 "__bnode941215" , " na 1735" ,
 "__bnode941223" , " na 1735" ,
 "__bnode941325" , "na 1559" ,
 "__bnode942648" , "na 1 december 1946" ,
 "__bnode944513" , "na 1675" ,
 "__bnode946451" , "na juni 1481" ,
 "__bnode950992" , "na 1529" ,
 "__bnode953537" , "na 1663" ,
 "__bnode954300" , "na 1238" ,
 "__bnode954313" , "na 1238" ,
 "__bnode962634" , "na 1566" ,
 "__bnode962839" , "na 23 juli 1599" ,
 "__bnode964601" , "na 1721" ,
 "__bnode968757" , "na 1587" ,
 "__bnode970001" , "na 1445" ,
 "__bnode973827" , "na 1663" ,
 "__bnode975020" , "na 1674" ,
 "__bnode978175" , "na februari 1760" ,
 "__bnode26456" , "na 1602" ,
 "__bnode94547" , "na 1616" ,
 "__bnode224496" , "na mei 1697" ,
 "__bnode316811" , "na 1440" ,
 "__bnode17112" , "na 1602" ,
 "__bnode151772" , " na 1670" ,
 "__bnode315383" , " na 1780" ,
 "__bnode31859" , "na 1719" ,
 "__bnode334294" , "na 1687" ,
 "__bnode7850" , "na 1676" ,
 "__bnode227971" , "in of na 1707" ,
 "__bnode57969" , " na 1655" ,
 "__bnode988101" , "na maart 1338" ,
 "__bnode988902" , " na 1652" ,
 "__bnode988918" , " na 1652" ,
 "__bnode989952" , "Wellicht in 1611. in ieder geval na 1590" ,
 "__bnode990820" , "na 1676" ,
 "__bnode996214" , "na 1748" ,
 "__bnode997127" , "kort na 1628" ,
 "__bnode998613" , "na mei 1584" ,
 "__bnode1005018" , " na 1326" ,
 "__bnode1005026" , " na 1326" ,
 "__bnode1005034" , " na 1326" ,
 "__bnode1005042" , " na 1326" ,
 "__bnode1005050" , " na 1326" ,
 "__bnode1009966" , "na 1640" ,
 "__bnode1010049" , "na 1617" ,
 "__bnode1010796" , "na 1662" ,
 "__bnode1014197" , "na 1697" ,
 "__bnode1015422" , " na 1879" ,
 "__bnode1017434" , "na 1583" ,
 "__bnode1019360" , " na 1875" ,
 "__bnode1019368" , " na 1875" ,
 "__bnode1022989" , " na 1776" ,
 "__bnode1022997" , " na 1776" ,
 "__bnode1023005" , " na 1776" ,
 "__bnode1023083" , "na 1601" ,
 "__bnode1031690" , "na 1748" ,
 "__bnode1033432" , " na 1722" ,
 "__bnode1033440" , " na 1722" ,
 "__bnode1033448" , " na 1722" ,
 "__bnode1034571" , " na 1868" ,
 "__bnode1034579" , " na 1868" ,
 "__bnode1035791" , "na 1671" ,
 "__bnode1036870" , "na 1701" ,
 "__bnode1037672" , " na 1887" ,
 "__bnode1037680" , " na 1887" ,
 "__bnode1041694" , "na 1 oktober 1629" ,
 "__bnode1041894" , "na 1634" ,
 "__bnode1044277" , " na 1572?" ,
 "__bnode1044285" , " na 1572?" ,
 "__bnode1046946" , "na 1650" ,
 "__bnode1047135" , "na 1701" ,
 "__bnode1048578" , "na 1703" ,
 "__bnode1050643" , "in of na 1684" ,
 "__bnode1052076" , " na 1635" ,
 "__bnode1052084" , " na 1635" ,
 "__bnode1052092" , " na 1635" ,
 "__bnode1052100" , " na 1635" ,
 "__bnode1062024" , "na febr 1664" ,
 "__bnode1064085" , "na 1820" ,
 "__bnode1064469" , "na 1666" ,
 "__bnode1065438" , "na 6 augustus 1606" ,
 "__bnode1069893" , "na 1720" ,
 "__bnode1070016" , " na 1782" ,
 "__bnode1070024" , " na 1782" ,
 "__bnode1070032" , " na 1782" ,
 "__bnode1074162" , "na augustus 1613" ,
 "__bnode1077238" , "na 21 december 1748" ,
 "__bnode1078220" , "na 24 maart 1667" ,
 "__bnode1079067" , "na 1664" ,
 "__bnode1079762" , "na 1957" ,
 "__bnode1080543" , "na 1674" ,
 "__bnode1080819" , "na 1814" ,
 "__bnode1084829" , " na 1561" ,
 "__bnode1084837" , " na 1561" ,
 "__bnode1087105" , "na 1626" ,
 "__bnode1087747" , "na 1625" ,
 "__bnode1090652" , "na 19 augustus 1666" ,
 "__bnode1096055" , "na 1570" ,
 "__bnode1099295" , "na 1660" ,
 "__bnode1104099" , "na 1602" ,
 "__bnode1106017" , "na januari 1782" ,
 "__bnode1107283" , "na 1626" ,
 "__bnode1108134" , "na 1558" ,
 "__bnode1110445" , "na 13 juni 1665" ,
 "__bnode1112975" , "na 1604" ,
 "__bnode1118933" , "na 1683" ,
 "__bnode1126047" , "na 1515" ,
 "__bnode1126805" , "na 1680" ,
 "__bnode1128346" , "na 1624" ,
 "__bnode1133725" , " na 1888" ,
 "__bnode1133733" , " na 1888" ,
 "__bnode1134163" , " na 1871" ,
 "__bnode1136932" , " na 1742" ,
 "__bnode1136940" , " na 1742" ,
 "__bnode1137792" , "na 1654" ,
 "__bnode1140024" , "na 1698" ,
 "__bnode1141714" , "na 1741" ,
 "__bnode1143139" , "na 1599" ,
 "__bnode1144049" , "na 1593" ,
 "__bnode1144399" , "na 1554" ,
 "__bnode1145916" , "na 1735" ,
 "__bnode1146801" , "na 1609" ,
 "__bnode1147146" , "na 1725" ,
 "__bnode1147749" , "in of na 1795" ,
 "__bnode1150930" , "na 1701" ,
 "__bnode1151225" , "na 1605" ,
 "__bnode1162942" , "in of na 1688" ,
 "__bnode1166749" , "na 1782" ,
 "__bnode1169792" , "na 1653" ,
 "__bnode1171961" , "na 1674" ,
 "__bnode1172229" , "na 1631" ,
 "__bnode1173592" , "na 1682" ,
 "__bnode1174621" , "na 1580" ,
 "__bnode1175681" , "na 1574" ,
 "__bnode1182097" , "na 1665" ,
 "__bnode1186583" , "1390 of kort daarna" ,
 "__bnode1186620" , "na 1647" ,
 "__bnode1187967" , "na 1303" ,
 "__bnode1191094" , "na 1510" ,
 "__bnode1193458" , "na 1637" ,
 "__bnode1203849" , " na 1687" ,
 "__bnode1203857" , " na 1687" ,
 "__bnode1203865" , " na 1687" ,
 "__bnode1203873" , " na 1687" ,
 "__bnode1205050" , " na 1750" ,
 "__bnode1205058" , " na 1750" ,
 "__bnode1205702" , "na 1456" ,
 "__bnode1210159" , "na 1799" ,
 "__bnode1210498" , " na 1644" ,
 "__bnode1210506" , " na 1644" ,
 "__bnode1210522" , " na 1644" ,
 "__bnode1210530" , " na 1644" ,
 "__bnode1213994" , " na 1884" ,
 "__bnode1215156" , "na 1616" ,
 "__bnode1216028" , " na 1663" ,
 "__bnode1216036" , " na 1663" ,
 "__bnode1219447" , "na 1701" ,
 "__bnode1222158" , "na 1688" ,
 "__bnode1228443" , "na 1718" ,
 "__bnode1231728" , " na 1890" ,
 "__bnode1231736" , " na 1890" ,
 "__bnode1235300" , "na 1864" ,
 "__bnode1236662" , "na 1646" ,
 "__bnode1245540" , "na 1641" ,
 "__bnode1245951" , "na 983" ,
 "__bnode1249489" , "na 1625" ,
 "__bnode1249503" , "na 1625" ,
 "__bnode1254317" , "na 1730" ,
 "__bnode1260373" , "na 1719" ,
 "__bnode1260995" , " na 1638" ,
 "__bnode1261003" , " na 1638" ,
 "__bnode1261011" , " na 1638" ,
 "__bnode1263503" , "na 1599" ,
 "__bnode1276455" , "na ca. 54 v.C." ,
 "__bnode1286274" , "na mei 1771" ,
 "__bnode1289182" , "na 1551" ,
 "__bnode1290117" , "in of na 1716" ,
 "__bnode1295061" , "na 1665" ,
 "__bnode1300323" , "na 16-4-1595" ,
 "__bnode1300643" , "na 1677" ,
 "__bnode1311714" , "na 1184" ,
 "__bnode1311992" , "na 1763" ,
 "__bnode1312770" , "na 1659" ,
 "__bnode1312784" , "na 1656" ,
 "__bnode1317992" , "na 1776" ,
 "__bnode1319544" , "na 1699" ,
 "__bnode1319558" , "na 1699" ,
 "__bnode1319570" , "na 1699" ,
 "__bnode1328301" , "in of na 1595" ,
 "__bnode1329193" , "na 10 november 1606" ,
 "__bnode1332976" , "na 1682" ,
 "__bnode1333934" , "na 1134" ,
 "__bnode1334298" , "na 1790" ,
 "__bnode1334330" , "na 1790" ,
 "__bnode1338065" , "na 1660" ,
 "__bnode1338077" , " na 1660" ,
 "__bnode1338085" , " na 1660" ,
 "__bnode1345302" , "na 20 augustus 1664" ,
 "__bnode1345951" , "na 1575" ,
 "__bnode1353625" , "na 1673" ,
 "__bnode1353815" , "na mei 1644" ,
 "__bnode1355113" , " na 1722" ,
 "__bnode1369240" , "na 670" ,
 "__bnode1372566" , "na 1665" ,
 "__bnode1380056" , "na 1683" ,
 "__bnode1383140" , "na 1583" ,
 "__bnode1384341" , "na juni 1587" ,
 "__bnode1384351" , "na juni 1587" ,
