"title","creator","mediaURL","date"
"Abito maschile in tre pezzi.","Manifattura italiana (Venezia?)","http://repos.europeanafashion.eu/gdcdpp/images/00000142N.jpg"," 1750 ca."
"Abito maschile in tre pezzi.","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00000142N.jpg"," 1750 ca."
"Gilet maschile.","Manifattura italiana (Napoli?)","http://repos.europeanafashion.eu/gdcdpp/images/00000566N.jpg"," 1750 ca."
"Gilet maschile.","Paolo Bacherini, Susanna Sordi, Roberto Serafini. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00000566N.jpg"," 1750 ca."
"Abito femminile modello ""Andrienne"".","Manifattura francese (?)","http://repos.europeanafashion.eu/gdcdpp/images/00000200N.jpg"," 1760-1765 ca."
"Abito femminile modello ""Andrienne"".","Marcello Bertoni. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00000200N.jpg"," 1760-1765 ca."
"Abito femminile modello ""Andrienne"".","Manifattura francese (?)","http://repos.europeanafashion.eu/gdcdpp/images/00000143N.jpg"," 1770-1775 ca."
"Abito femminile modello ""Andrienne"".","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00000143N.jpg"," 1770-1775 ca."
"Abito femminile modello ""Andrienne"".","Manifattura francese (?)","http://repos.europeanafashion.eu/gdcdpp/images/0000014301N.jpg"," 1770-1775 ca."
"Abito femminile modello ""Andrienne"".","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/0000014301N.jpg"," 1770-1775 ca."
"Abito maschile in quattro pezzi.","Manifattura italiana (?)","http://repos.europeanafashion.eu/gdcdpp/images/00000155N.jpg"," 1775-1780 ca."
"Abito maschile in quattro pezzi.","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00000155N.jpg"," 1775-1780 ca."
"Abito maschile in due pezzi.","Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00000156N.jpg"," 1775-1780 ca."
"Abito maschile in due pezzi.","Manifattura italiana (Veneto?)","http://repos.europeanafashion.eu/gdcdpp/images/00000156N.jpg"," 1775-1780 ca."
"Abito maschile in due pezzi.","Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/0000015601N.jpg"," 1775-1780 ca."
"Abito maschile in due pezzi.","Manifattura italiana (Veneto?)","http://repos.europeanafashion.eu/gdcdpp/images/0000015601N.jpg"," 1775-1780 ca."
"Abito femminile modello ""Andrienne"".","Manifattura italiana, Sicilia","http://repos.europeanafashion.eu/gdcdpp/images/00000315N.jpg"," 1775-1780 ca."
"Abito femminile modello ""Andrienne"".","Manifattura italiana, Sicilia","http://repos.europeanafashion.eu/gdcdpp/images/0000031501N.jpg"," 1775-1780 ca."
"Abito femminile modello ""robe à l'anglaise"" (e ""à polonaise"").","Gabinetto fotografico SBAS (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00000339N.jpg"," 1778 ca."
"Abito femminile modello ""robe à l'anglaise"" (e ""à polonaise"").","Manifattura ignota","http://repos.europeanafashion.eu/gdcdpp/images/00000339N.jpg"," 1778 ca."
"Abito femminile modello ""robe à l'anglaise"" (e ""à polonaise"").","Gabinetto fotografico SBAS (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/0000033901N.jpg"," 1778 ca."
"Abito femminile modello ""robe à l'anglaise"" (e ""à polonaise"").","Manifattura ignota","http://repos.europeanafashion.eu/gdcdpp/images/0000033901N.jpg"," 1778 ca."
"Abito maschile in tre pezzi.","Manifattura italiana (?)","http://repos.europeanafashion.eu/gdcdpp/images/00000144N.jpg"," 1780 ca."
"Abito maschile in tre pezzi.","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00000144N.jpg"," 1780 ca."
"Abito femminile modello ""robe à l'anglaise"".","Manifattura italiana (Sicilia?)","http://repos.europeanafashion.eu/gdcdpp/images/00000158N.jpg"," 1780 ca."
"Abito femminile modello ""robe à l'anglaise"".","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00000158N.jpg"," 1780 ca."
"Abito femminile modello ""robe à l'anglaise"".","Manifattura italiana (Sicilia?)","http://repos.europeanafashion.eu/gdcdpp/images/0000015801N.jpg"," 1780 ca."
"Abito femminile modello ""robe à l'anglaise"".","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/0000015801N.jpg"," 1780 ca."
"Abito femminile modello ""robe à l'anglaise"".","Manifattura italiana (Sicilia?)","http://repos.europeanafashion.eu/gdcdpp/images/0000015802N.jpg"," 1780 ca."
"Abito femminile modello ""robe à l'anglaise"".","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/0000015802N.jpg"," 1780 ca."
"Abito femminile modello ""robe à l'anglaise"".","Manifattura italiana (Sicilia?)","http://repos.europeanafashion.eu/gdcdpp/images/0000015803N.jpg"," 1780 ca."
"Abito femminile modello ""robe à l'anglaise"".","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/0000015803N.jpg"," 1780 ca."
"Abito femminile modello ""robe à l'anglaise"".","Manifattura italiana (Sicilia?)","http://repos.europeanafashion.eu/gdcdpp/images/0000015804N.jpg"," 1780 ca."
"Abito femminile modello ""robe à l'anglaise"".","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/0000015804N.jpg"," 1780 ca."
"Abito femminile modello ""robe à l'anglaise"".","Manifattura italiana (Sicilia?)","http://repos.europeanafashion.eu/gdcdpp/images/0000015805N.jpg"," 1780 ca."
"Abito femminile modello ""robe à l'anglaise"".","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/0000015805N.jpg"," 1780 ca."
"Abito femminile modello ""robe à l'anglaise"".","Manifattura italiana (Sicilia?)","http://repos.europeanafashion.eu/gdcdpp/images/0000015806N.jpg"," 1780 ca."
"Abito femminile modello ""robe à l'anglaise"".","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/0000015806N.jpg"," 1780 ca."
"Abito femminile modello ""robe à l'anglaise"".","Manifattura italiana (Sicilia?)","http://repos.europeanafashion.eu/gdcdpp/images/0000015807N.jpg"," 1780 ca."
"Abito femminile modello ""robe à l'anglaise"".","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/0000015807N.jpg"," 1780 ca."
"Abito femminile modello ""robe à l'anglaise"".","Manifattura italiana (Sicilia?)","http://repos.europeanafashion.eu/gdcdpp/images/0000015808N.jpg"," 1780 ca."
"Abito femminile modello ""robe à l'anglaise"".","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/0000015808N.jpg"," 1780 ca."
"Abito femminile modello ""robe à l'anglaise"".","Manifattura italiana (Sicilia?)","http://repos.europeanafashion.eu/gdcdpp/images/0000015809N.jpg"," 1780 ca."
"Abito femminile modello ""robe à l'anglaise"".","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/0000015809N.jpg"," 1780 ca."
"Abito femminile.","Manifattura italiana","http://repos.europeanafashion.eu/gdcdpp/images/00000207N.jpg"," 1780 ca."
"Abito femminile.","Marcello Bertoni. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00000207N.jpg"," 1780 ca."
"Abito femminile.","Manifattura italiana","http://repos.europeanafashion.eu/gdcdpp/images/0000020701N.jpg"," 1780 ca."
"Abito femminile.","Marcello Bertoni. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/0000020701N.jpg"," 1780 ca."
"Casacchina femminile modello ""caraco"".","Manifattura italiana, Sicilia","http://repos.europeanafashion.eu/gdcdpp/images/00000533N.jpg"," 1780 ca."
"Gilet maschile.","Manifattura italiana","http://repos.europeanafashion.eu/gdcdpp/images/00000565N.jpg"," 1780 ca."
"Gilet maschile.","Paolo Bacherini, Susanna Sordi, Roberto Serafini. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00000565N.jpg"," 1780 ca."
"Corpetto femminile.","Manifattura italiana","http://repos.europeanafashion.eu/gdcdpp/images/00001675N.jpg"," 1780 ca."
"Corpetto femminile.","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00001675N.jpg"," 1780 ca."
"Corpetto femminile.","Manifattura italiana","http://repos.europeanafashion.eu/gdcdpp/images/0000167501N.jpg"," 1780 ca."
"Corpetto femminile.","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/0000167501N.jpg"," 1780 ca."
"Marsina maschile.","Manifattura italiana","http://repos.europeanafashion.eu/gdcdpp/images/00000188N.jpg"," 1792 ca."
"Marsina maschile.","Marcello Bertoni. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00000188N.jpg"," 1792 ca."
"Marsina maschile.","Manifattura italiana","http://repos.europeanafashion.eu/gdcdpp/images/00003565N.jpg"," 1795 ca."
"Marsina maschile.","Susanna Sordi, Roberto Serafini. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00003565N.jpg"," 1795 ca."
"Marsina maschile.","Manifattura italiana (?)","http://repos.europeanafashion.eu/gdcdpp/images/00000124N.jpg"," 1800 ca."
"Marsina maschile.","Gabinetto fotografico SBAS. Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00000124N.jpg"," 1800 ca."
"Abito femminile da giorno.","Manifattura italiana","http://repos.europeanafashion.eu/gdcdpp/images/00000234N.jpg"," 1805 ca."
"Abito femminile da giorno.","Marcello Bertoni. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00000234N.jpg"," 1805 ca."
"Abito femminile di corte.","Manifattura italiana","http://repos.europeanafashion.eu/gdcdpp/images/00000541N.jpg"," 1805 ca."
"Abito femminile di corte.","Paolo Bacherini, Susanna Sordi, Roberto Serafini. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00000541N.jpg"," 1805 ca."
"Marsina di uniforme civile.","Manifattura italiana (?)","http://repos.europeanafashion.eu/gdcdpp/images/00000561N.jpg"," 1805 ca."
"Marsina di uniforme civile.","Paolo Bacherini, Susanna Sordi, Roberto Serafini. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00000561N.jpg"," 1805 ca."
"Marsina di uniforme civile.","Manifattura italiana (?)","http://repos.europeanafashion.eu/gdcdpp/images/0000056101N.jpg"," 1805 ca."
"Marsina di uniforme civile.","Paolo Bacherini, Susanna Sordi, Roberto Serafini. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/0000056101N.jpg"," 1805 ca."
"Abito femminile di gala.","Manifattura italiana (?)","http://repos.europeanafashion.eu/gdcdpp/images/00000126N.jpg"," 1807-1812 ca."
"Abito femminile di gala.","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00000126N.jpg"," 1807-1812 ca."
"Abito femminile di gala.","Manifattura italiana (?)","http://repos.europeanafashion.eu/gdcdpp/images/0000012601N.jpg"," 1807-1812 ca."
"Abito femminile di gala.","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/0000012601N.jpg"," 1807-1812 ca."
"Abito femminile da giorno.","Manifattura italiana (Napoli?)","http://repos.europeanafashion.eu/gdcdpp/images/00000236N.jpg"," 1810 ca."
"Abito femminile da giorno.","Marcello Bertoni. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00000236N.jpg"," 1810 ca."
"Abito femminile in mussola di cotone.","Manifattura italiana (?)","http://repos.europeanafashion.eu/gdcdpp/images/00000187N.jpg"," 1815-1818 ca."
"Abito femminile in mussola di cotone.","Marcello Bertoni. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00000187N.jpg"," 1815-1818 ca."
"Abito femminile da giorno.","Manifattura italiana (?)","http://repos.europeanafashion.eu/gdcdpp/images/00000193N.jpg"," 1824 ca."
"Abito femminile da giorno.","Marcello Bertoni. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00000193N.jpg"," 1824 ca."
"Abito femminile.","Manifattura ignota","http://repos.europeanafashion.eu/gdcdpp/images/00000146N.jpg"," 1825 ca."
"Abito femminile.","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00000146N.jpg"," 1825 ca."
"Abito femminile da giorno.","Manifattura francese","http://repos.europeanafashion.eu/gdcdpp/images/00000147N.jpg"," 1835-1838 ca."
"Abito femminile da giorno.","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00000147N.jpg"," 1835-1838 ca."
"Abito femminile da giorno.","Manifattura francese","http://repos.europeanafashion.eu/gdcdpp/images/0000014701N.jpg"," 1835-1838 ca."
"Abito femminile da giorno.","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/0000014701N.jpg"," 1835-1838 ca."
"Marsina di uniforme civile.","Manifattura italiana, Firenze","http://repos.europeanafashion.eu/gdcdpp/images/00001206N.jpg"," 1840 ca."
"Marsina di uniforme civile.","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/00001206N.jpg"," 1840 ca."
"Marsina di uniforme civile.","Manifattura italiana, Firenze","http://repos.europeanafashion.eu/gdcdpp/images/0000120601N.jpg"," 1840 ca."
"Marsina di uniforme civile.","Gabinetto fotografico SBAS, Antonio Quattrone. (Photographer)","http://repos.europeanafashion.eu/gdcdpp/images/0000120601N.jpg"," 1840 ca."
"Marsina di uniforme civile.","Manifattura italiana, Firenze","http://repos.europeanafashion.eu/gdcdpp/images/0000120602N.jpg"," 1840 ca."
