"title","creator","mediaURL","date"
"Nieuw' en Groote Loots-Mans Zee-Spiegel, ... (etc.) door Hendrick Doncker.","Raad der Koloniën in West-Indië","http://afbeeldingen.gahetna.nl/naa/thumb/500x500/c50eb46f-7f63-c1a3-91e4-9e1cf4b586d4.jpg","ca. 1665."
"Nieuw' en Groote Loots-Mans Zee-Spiegel, ... (etc.) door Hendrick Doncker.","Directie van de Sociëteit van Suriname","http://afbeeldingen.gahetna.nl/naa/thumb/500x500/c50eb46f-7f63-c1a3-91e4-9e1cf4b586d4.jpg","ca. 1665."
"Nieuw' en Groote Loots-Mans Zee-Spiegel, ... (etc.) door Hendrick Doncker.","Verenigde Oostindische Compagnie, Kamer Amsterdam","http://afbeeldingen.gahetna.nl/naa/thumb/500x500/c50eb46f-7f63-c1a3-91e4-9e1cf4b586d4.jpg","ca. 1665."
"Nieuw' en Groote Loots-Mans Zee-Spiegel, ... (etc.) door Hendrick Doncker.","Verenigde Oostindische Compagnie, Kamer Zeeland","http://afbeeldingen.gahetna.nl/naa/thumb/500x500/c50eb46f-7f63-c1a3-91e4-9e1cf4b586d4.jpg","ca. 1665."
"Nieuw' en Groote Loots-Mans Zee-Spiegel, ... (etc.) door Hendrick Doncker.","Comité tot de Oost-Indische Handel en Bezittingen","http://afbeeldingen.gahetna.nl/naa/thumb/500x500/c50eb46f-7f63-c1a3-91e4-9e1cf4b586d4.jpg","ca. 1665."
"Nieuw' en Groote Loots-Mans Zee-Spiegel, ... (etc.) door Hendrick Doncker.","Depot-Generaal van Oorlog","http://afbeeldingen.gahetna.nl/naa/thumb/500x500/c50eb46f-7f63-c1a3-91e4-9e1cf4b586d4.jpg","ca. 1665."
"Nieuw' en Groote Loots-Mans Zee-Spiegel, ... (etc.) door Hendrick Doncker.","Directie ad interim voor de Westindische Koloniën","http://afbeeldingen.gahetna.nl/naa/thumb/500x500/c50eb46f-7f63-c1a3-91e4-9e1cf4b586d4.jpg","ca. 1665."
"Nieuw' en Groote Loots-Mans Zee-Spiegel, ... (etc.) door Hendrick Doncker.","Loten, J.G., (gouverneur van Ceylon, 1710-1789)","http://afbeeldingen.gahetna.nl/naa/thumb/500x500/c50eb46f-7f63-c1a3-91e4-9e1cf4b586d4.jpg","ca. 1665."
"Nieuw' en Groote Loots-Mans Zee-Spiegel, ... (etc.) door Hendrick Doncker.","Ministerie van Koophandel en Koloniën","http://afbeeldingen.gahetna.nl/naa/thumb/500x500/c50eb46f-7f63-c1a3-91e4-9e1cf4b586d4.jpg","ca. 1665."
"Nieuw' en Groote Loots-Mans Zee-Spiegel, ... (etc.) door Hendrick Doncker.","Ministerie van Marine en Koloniën","http://afbeeldingen.gahetna.nl/naa/thumb/500x500/c50eb46f-7f63-c1a3-91e4-9e1cf4b586d4.jpg","ca. 1665."
