"title","creator","mediaURL","date"
"relief[sculpture]","Goyers[gebroeders]","http://balat.kikirpa.be/image/thumbnail/M278133.jpg","ca 1880/1880"
"L'Art appliqué à l'Industrie","Dillens, Julien","http://balat.kikirpa.be/image/thumbnail/N15242.jpg","ca 1880/1880"
"L'Art appliqué à la décoration monumentale","Dillens, Julien","http://balat.kikirpa.be/image/thumbnail/N15243.jpg","ca 1880/1880"
"Médaillon avec le portrait en profil de Léopold II, roi des Belges","De Groot, Guillaume","http://balat.kikirpa.be/image/thumbnail/N15254.jpg","ca 1880/1880"
"Le médaillon de Marie-Thérèse","De Groot, Guillaume","http://balat.kikirpa.be/image/thumbnail/N15255.jpg","ca 1880/1880"
"Le Moyen-âge","Van der Stappen, Charles","http://balat.kikirpa.be/image/thumbnail/N15257.jpg","ca 1880/1880"
"La Renaissance","Van Rasbourgh, Antoine Joseph","http://balat.kikirpa.be/image/thumbnail/N15259.jpg","ca 1880/1880"
"Jean Van Ruysbroeck","Bouré, Antoine-Félix","http://balat.kikirpa.be/image/thumbnail/M278139.jpg","ca 1880/1880"
"Vase en verre noir au décor peint à l'or","inconnu","http://balat.kikirpa.be/image/thumbnail/N19179.jpg","ca 1880/1880"
"robe","inconnu","http://balat.kikirpa.be/image/thumbnail/KN4087.jpg","ca 1880/1880"
"Chapeau de mandarin","inconnu","http://balat.kikirpa.be/image/thumbnail/N16671.jpg","ca 1880/1880"
"Plumet de chapeau avec sa boîte","inconnu","http://balat.kikirpa.be/image/thumbnail/N16671.jpg","ca 1880/1880"
"Paysage avec remise","Fontan, Joseph Augustin","http://balat.kikirpa.be/image/thumbnail/N17608.jpg","ca 1880/1880"
"Paysage arboré Arbre","Fontan, Joseph Augustin","http://balat.kikirpa.be/image/thumbnail/N17609.jpg","ca 1880/1880"
"Portrait de monsieur Frère Orban","Gallait, Louis","http://balat.kikirpa.be/image/thumbnail/A106797.jpg","ca 1880/1880"
"communiebank","onbekend","http://balat.kikirpa.be/image/thumbnail/M76965.jpg","ca 1880/1880"
"sigarettendoos","onbekend","http://balat.kikirpa.be/image/thumbnail/M273038.jpg","ca 1880/1880"
"handtas","onbekend","http://balat.kikirpa.be/image/thumbnail/M273114.jpg","ca 1880/1880"
